target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
5e-5	50000	0.001	0.2	3736468682	0.946	TRUE	0.004210526315789478	194296371464
1e-4	50000	0.001	0.2	1041355288	0.946	TRUE	0.004210526315789478	54150474976
5e-4	50000	0.001	0.2	125649140	0.928	TRUE	0.02315789473684201	6533755280
0.001	50000	0.001	0.2	59070754	0.93	TRUE	0.02105263157894727	3071679208
1e-6	100000	0.001	0.2	999999992550	0.1705	FALSE	0.8205263157894737	51999999612600
1e-5	100000	0.001	0.2	999999992550	0.8775	FALSE	0.07631578947368423	51999999612600
5e-5	100000	0.001	0.2	2254652523	0.964	TRUE	0.014736842105263171	117241931196
1e-4	100000	0.001	0.2	854509630	0.973	TRUE	0.024210526315789495	44434500760
5e-4	100000	0.001	0.2	117334292	0.952	TRUE	0.002105263157894739	6101383184
0.001	100000	0.001	0.2	56835578	0.94	TRUE	0.010526315789473694	2955450056
1e-6	2000	1e-4	0.2	999999992550	0.004	FALSE	0.9957894736842106	51999999612600
1e-5	2000	1e-4	0.2	999999992550	0.0425	FALSE	0.9552631578947368	51999999612600
5e-5	2000	1e-4	0.2	999999992550	0.1985	FALSE	0.7910526315789473	51999999612600
1e-4	2000	1e-4	0.2	999999992550	0.354	FALSE	0.6273684210526316	51999999612600
5e-4	2000	1e-4	0.2	999999992550	0.8875	FALSE	0.06578947368421052	51999999612600
0.001	2000	1e-4	0.2	3974931960	0.95	TRUE	0	206696461920
1e-6	10000	1e-4	0.2	999999992550	0.0215	FALSE	0.9773684210526317	51999999612600
1e-5	10000	1e-4	0.2	999999992550	0.176	FALSE	0.8147368421052632	51999999612600
5e-5	10000	1e-4	0.2	999999992550	0.6505	FALSE	0.31526315789473686	51999999612600
1e-4	10000	1e-4	0.2	999999992550	0.8945	FALSE	0.05842105263157894	51999999612600
5e-4	10000	1e-4	0.2	2132343792	0.95	TRUE	0	110881877184
0.001	10000	1e-4	0.2	791075388	0.948	TRUE	0.002105263157894739	41135920176
1e-6	50000	1e-4	0.2	999999992550	0.091	FALSE	0.9042105263157895	51999999612600
1e-5	50000	1e-4	0.2	999999992550	0.676	FALSE	0.28842105263157886	51999999612600
5e-5	50000	1e-4	0.2	38879277484	0.944	TRUE	0.0063157894736842165	2021722429168
1e-4	50000	1e-4	0.2	11270525508	0.96	TRUE	0.010526315789473694	586067326416
5e-4	50000	1e-4	0.2	1275780354	0.933	TRUE	0.017894736842105165	66340578408
0.001	50000	1e-4	0.2	601666728	0.932	TRUE	0.018947368421052532	31286669856
1e-6	100000	1e-4	0.2	999999992550	0.176	FALSE	0.8147368421052632	51999999612600
1e-5	100000	1e-4	0.2	999999992550	0.881	FALSE	0.07263157894736837	51999999612600
5e-5	100000	1e-4	0.2	23559587528	0.962	TRUE	0.012631578947368433	1225098551456
1e-4	100000	1e-4	0.2	8312794053	0.97	TRUE	0.02105263157894739	432265290756
5e-4	100000	1e-4	0.2	1173409376	0.948	TRUE	0.002105263157894739	61017287552
0.001	100000	1e-4	0.2	570106069	0.958	TRUE	0.008421052631578956	29645515588
1e-6	2000	1e-5	0.2	999999992550	0.002	FALSE	0.9978947368421053	51999999612600
1e-5	2000	1e-5	0.2	999999992550	0.054	FALSE	0.9431578947368421	51999999612600
5e-5	2000	1e-5	0.2	999999992550	0.208	FALSE	0.7810526315789474	51999999612600
1e-4	2000	1e-5	0.2	999999992550	0.372	FALSE	0.608421052631579	51999999612600
5e-4	2000	1e-5	0.2	999999992550	0.8785	FALSE	0.07526315789473685	51999999612600
0.001	2000	1e-5	0.2	25356041700	0.954	TRUE	0.004210526315789478	1318514168400
1e-6	10000	1e-5	0.2	999999992550	0.019	FALSE	0.98	51999999612600
1e-5	10000	1e-5	0.2	999999992550	0.181	FALSE	0.8094736842105262	51999999612600
5e-5	10000	1e-5	0.2	999999992550	0.656	FALSE	0.30947368421052623	51999999612600
1e-4	10000	1e-5	0.2	999999992550	0.8775	FALSE	0.07631578947368423	51999999612600
5e-4	10000	1e-5	0.2	19470097990	0.938	TRUE	0.012631578947368433	1012445095480
0.001	10000	1e-5	0.2	8789079862	0.958	TRUE	0.008421052631578956	457032152824
1e-6	50000	1e-5	0.2	999999992550	0.0645	FALSE	0.9321052631578948	51999999612600
1e-5	50000	1e-5	0.2	999999992550	0.5415	FALSE	0.43	51999999612600
5e-5	50000	1e-5	0.2	399012206544	0.944	TRUE	0.0063157894736842165	20748634740288
1e-4	50000	1e-5	0.2	103240491476	0.938	TRUE	0.012631578947368433	5368505556752
5e-4	50000	1e-5	0.2	12691500226	0.938	TRUE	0.012631578947368433	659958011752
0.001	50000	1e-5	0.2	6105276450	0.962	TRUE	0.012631578947368433	317474375400
1e-6	100000	1e-5	0.2	999999992550	0.0775	FALSE	0.9184210526315789	51999999612600
1e-5	100000	1e-5	0.2	999999992550	0.671	FALSE	0.2936842105263157	51999999612600
5e-5	100000	1e-5	0.2	223121032436	0.948	TRUE	0.002105263157894739	11602293686672
1e-4	100000	1e-5	0.2	84045426766	0.956	TRUE	0.0063157894736842165	4370362191832
5e-4	100000	1e-5	0.2	11882069158	0.932	TRUE	0.018947368421052532	617867596216
0.001	100000	1e-5	0.2	5648570766	0.93	TRUE	0.02105263157894727	293725679832
1e-6	2000	1e-6	0.2	999999992550	0.004	FALSE	0.9957894736842106	51999999612600
1e-5	2000	1e-6	0.2	999999992550	0.0385	FALSE	0.9594736842105264	51999999612600
5e-5	2000	1e-6	0.2	999999992550	0.1795	FALSE	0.8110526315789474	51999999612600
1e-4	2000	1e-6	0.2	999999992550	0.3285	FALSE	0.6542105263157895	51999999612600
5e-4	2000	1e-6	0.2	999999992550	0.8535	FALSE	0.10157894736842098	51999999612600
0.001	2000	1e-6	0.2	391113413998	0.962	TRUE	0.012631578947368433	20337897527896
1e-6	10000	1e-6	0.2	999999992550	0.0095	FALSE	0.9900000000000001	51999999612600
1e-5	10000	1e-6	0.2	999999992550	0.077	FALSE	0.9189473684210526	51999999612600
5e-5	10000	1e-6	0.2	999999992550	0.3925	FALSE	0.5868421052631578	51999999612600
1e-4	10000	1e-6	0.2	999999992550	0.693	FALSE	0.2705263157894737	51999999612600
5e-4	10000	1e-6	0.2	221048400144	0.954	TRUE	0.004210526315789478	11494516807488
0.001	10000	1e-6	0.2	83543853684	0.95	TRUE	0	4344280391568
1e-6	50000	1e-6	0.2	999999992550	5e-4	FALSE	0.9994736842105264	51999999612600
1e-5	50000	1e-6	0.2	999999992550	0.0185	FALSE	0.9805263157894737	51999999612600
5e-5	50000	1e-6	0.2	999999992550	0.5075	FALSE	0.46578947368421053	51999999612600
1e-4	50000	1e-6	0.2	999923683703	0.94	TRUE	0.010526315789473694	51996031552556
5e-4	50000	1e-6	0.2	130585150174	0.95	TRUE	0	6790427809048
0.001	50000	1e-6	0.2	59673668906	0.948	TRUE	0.002105263157894739	3103030783112
1e-6	100000	1e-6	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-6	0.2	999999992550	0.0035	FALSE	0.9963157894736843	51999999612600
5e-5	100000	1e-6	0.2	999999992550	0.547	FALSE	0.4242105263157894	51999999612600
1e-4	100000	1e-6	0.2	802971476798	0.932	TRUE	0.018947368421052532	41754516793496
5e-4	100000	1e-6	0.2	119202361868	0.938	TRUE	0.012631578947368433	6198522817136
0.001	100000	1e-6	0.2	56331159672	0.95	TRUE	0	2929220302944
1e-6	2000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-7	0.2	999999992550	0.0055	FALSE	0.9942105263157895	51999999612600
5e-5	2000	1e-7	0.2	999999992550	0.027	FALSE	0.971578947368421	51999999612600
1e-4	2000	1e-7	0.2	999999992550	0.0735	FALSE	0.9226315789473684	51999999612600
5e-4	2000	1e-7	0.2	999999992550	0.4505	FALSE	0.5257894736842105	51999999612600
0.001	2000	1e-7	0.2	999999992550	0.8015	FALSE	0.15631578947368419	51999999612600
1e-6	10000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-7	0.2	999999992550	0.0015	FALSE	0.998421052631579	51999999612600
1e-4	10000	1e-7	0.2	999999992550	0.0035	FALSE	0.9963157894736843	51999999612600
5e-4	10000	1e-7	0.2	999999992550	0.5635	FALSE	0.4068421052631579	51999999612600
0.001	10000	1e-7	0.2	786588663510	0.942	TRUE	0.008421052631578956	40902610502520
1e-6	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-7	0.2	999999992550	0.676	FALSE	0.28842105263157886	51999999612600
0.001	50000	1e-7	0.2	600707810639	0.952	TRUE	0.002105263157894739	31236806153228
1e-6	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
